"ID","Title","Assigned To","Automated Cases","Automation Type","Case ID","Comment","Defects","Elapsed","Estimate","Expected Result","Forecast","Goals","In Progress","Mission","Obsolete","Plan","Plan ID","Preconditions","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Section Hierarchy","Status","Steps","Steps","Steps (Actual Result)","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Status)","Steps (Step)","Template","Tested By","Tested On","Type","Version"
"T31762183","Verify that the build is successful","",""," Need to Triage","C281569","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Build","2","","Appliance > Build / Bundle > Build","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762184","Verify that the build has latest images","",""," Need to Triage","C281570","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Build","2","","Appliance > Build / Bundle > Build","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762185","Verify that the build is available for CDN","",""," Need to Triage","C281571","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Build","2","","Appliance > Build / Bundle > Build","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762186","Verify that the bundle contains all the expected artifiacts","",""," Need to Triage","C281572","","","","","app.yaml
teleport.tar.gz
gravity
packages
upgrade
gravity.db
README
upload
install
run_preflight_checks","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Build","2","","Appliance > Build / Bundle > Build","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762187","Verify the SHASUM is generated and updated in db","",""," Need to Triage","C281573","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Build","2","","Appliance > Build / Bundle > Build","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762141","Perform restore from UI","",""," Need to Triage","C10612","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Backup /Restore > Scheduled Backup / Restore > Functional","Untested","","","","","","","","","","Test Case (Text)","","","Can't Automate",""
"T31762142","Backup Now -  And verify from SFTP server","",""," BE","C82926","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-15037","Appliances (POD)","","R14058","Functional","3","","Appliance > Backup /Restore > Scheduled Backup / Restore > Functional","Untested","","","","","","","","","","Test Case (Text)","","","Automated",""
"T31762167","Reconfigure SFTP server for back up","",""," Need to Triage","C259671","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Backup /Restore > Scheduled Backup / Restore > Functional","Untested","","","","","","","","","","Test Case (Text)","","","Functional",""
"T31762129","Application Version is available in the header","",""," BE","C9176","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","UI","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > UI","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762130","Cluster version is available in the header","",""," BE","C9177","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","UI","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > UI","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762131","Update button is not available for Manually installed cluster","",""," Need to Triage","C9181","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","UI","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > UI","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Can't Automate",""
"T31762132","After Upgrade warning icon is not available","",""," BE","C9183","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","UI","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > UI","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762133","Update in the option menu is enabled if update is available","",""," BE","C9185","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","UI","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > UI","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
"T31762128","Perform curl upgrade","",""," Need to Triage","C9082","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762134","Manual upgrade fails with reason displayed on UI / console","",""," Need to Triage","C9200","","","","","No changes in the UI from previous state","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762135","Upgrade appliance with mulitple nodes","",""," Need to Triage","C9205","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762146","Perform update appliance from UI","",""," Need to Triage","C216773","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","","Appliances (POD)","","R14058","Functional","3","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762177","Verify that the audit log correctly reflects the update success message with correct changed vaues when the update is successful.","",""," Need to Triage","C280147","","","","","The audit log accurately reflects the successful update with correct changed values.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762178","Verify that the audit log correctly reflects the update failed message without any changed vaues when the update is failed.","",""," Need to Triage","C280148","","","","","The audit log accurately reflects the failed update without any changed values in the Audit trail.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762179","Verify the message in audit log if update is aborted due to low disk size.","",""," Need to Triage","C280149","","","","","Audit log does not provide changed values in the Audit trail if update is failed due to low disk size.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762180","Verify the message in audit log if update is aborted due to the images rollback issue.","",""," Need to Triage","C280150","","","","","Audit log does not provide changed values in the Audit trail if update is failed due to the images rollback issue.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762181","Verify that the """"changed values"""" field only has data when update is done successfully.","",""," Need to Triage","C280152","","","","","""""Changed values"""" field only provides the source and destination application version when update is done successfully.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762182","Verify that the """"changed values"""" field has no data in the Audit trail when update is failed.","",""," Need to Triage","C280153","","","","","""""Changed values"""" field provides no data in Audit trail when update is failed.","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-91006","Appliances (POD)","","R14058","PRIV-91006 Update Failed Audit Log","5","","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Functional > 1.5.2 - PRIV-9098 - Upgrade Appliance > PRIV-91006 Update Failed Audit Log","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Functional",""
"T31762149","Upgrade pod is created","",""," Need to Triage","C245275","","","","","","","","","","No","Appliance (Pod) - 1.120","R14057","","Medium","PRIV-62835","Appliances (POD)","","R14058","Functional","4","Appliance: Auto Upgrade support via UI","Appliance > Update > 1.9 - PRIV-12624 - Upgrade Appliance > Auto-Upgrade > Functional","Passed","","","","","","","","","","Test Case (Text)","Zainab Turabi","7/23/2024 10:34 AM","Automated",""
